"combo_id","gamma","fc","tau","chunk_id","sim_global","true_late","n_cov","n_rand","host","cpu_model","p1","reject1","covered1","nint1","width1","inf1","p1c","reject1c","covered1c","nint1c","width1c","inf1c","rt1","p2","reject2","covered2","nint2","width2","inf2","p2c","reject2c","covered2c","nint2c","width2c","inf2c","rt2","p3","reject3","covered3","nint3","width3","inf3","p3c","reject3c","covered3c","nint3c","width3c","inf3c","rt3","hausdorff","flag_diff","hausdorff_cov","flag_diff_cov"
5,0.5,0.5,0.5,2,11,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.288711288711289,0,1,1,1.68753134689317,0,0.456543456543457,0,1,1,1.70912631350241,0,775.591,0.288711288711289,0,1,1,1.68753134689317,0,0.456543456543457,0,1,1,1.70912631350241,0,20.0129999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,12,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.103896103896104,0,1,1,1.60909722005558,0,0.0979020979020979,0,1,1,1.64426123872378,0,774.019,0.103896103896104,0,1,1,1.60909722005558,0,0.0979020979020979,0,1,1,1.64426123872378,0,19.8300000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,13,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.0959040959040959,0,1,1,1.61867086787468,0,0.101898101898102,0,1,1,1.63190322320308,0,762.007,0.0959040959040959,0,1,1,1.61867086787468,0,0.101898101898102,0,1,1,1.63190322320308,0,19.5340000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,14,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.32967032967033,0,1,1,1.68846592510192,0,0.36963036963037,0,1,1,1.72985410365348,0,760.876,0.32967032967033,0,1,1,1.68846592510192,0,0.36963036963037,0,1,1,1.72985410365348,0,19.8850000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,15,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.464535464535465,0,1,1,2.1055861636846,0,0.488511488511489,0,1,1,2.2166939169006,0,767.381,0.464535464535465,0,1,1,2.1055861636846,0,0.488511488511489,0,1,1,2.2166939169006,0,19.5020000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,16,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.853146853146853,0,1,1,2.31182844707809,0,0.886113886113886,0,1,1,2.40397733688512,0,790.821,0.853146853146853,0,1,1,2.31182844707809,0,0.886113886113886,0,1,1,2.40397733688512,0,19.8220000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,17,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.022977022977023,1,1,1,2.35106516349722,0,0.024975024975025,1,1,1,2.24119437470657,0,774.849,0.022977022977023,1,1,1,2.35106516349722,0,0.024975024975025,1,1,1,2.24119437470657,0,19.5370000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,18,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.031968031968032,1,1,1,2.13380924429574,0,0.033966033966034,1,1,1,2.33204102054822,0,745.835999999999,0.031968031968032,1,1,1,2.13380924429574,0,0.033966033966034,1,1,1,2.33204102054822,0,19.7950000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,19,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.003996003996004,1,1,1,1.70696831795985,0,0.003996003996004,1,1,1,1.6838511434199,0,768.839000000001,0.003996003996004,1,1,1,1.70696831795985,0,0.003996003996004,1,1,1,1.6838511434199,0,19.6690000000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,2,20,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.639360639360639,0,1,1,1.85962539958196,0,0.647352647352647,0,1,1,1.86600222821534,0,759.284,0.639360639360639,0,1,1,1.85962539958196,0,0.647352647352647,0,1,1,1.86600222821534,0,19.4740000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
